CLAVE_ENT,NOM_ENT,MUN,ANIO,POBLACION
9,Ciudad de Mexico,Azcapotzalco,2017,413357
9,Ciudad de Mexico,Benito Juarez,2017,422882
9,Ciudad de Mexico,Coyoacan,2017,627775
9,Ciudad de Mexico,Cuajimalpa de Morelos,2017,197629
9,Ciudad de Mexico,Cuauhtemoc,2017,545675
9,Ciudad de Mexico,Gustavo A. Madero,2017,1189130
9,Ciudad de Mexico,Iztacalco,2017,395939
9,Ciudad de Mexico,Iztapalapa,2017,1837496
9,Ciudad de Mexico,La Magdalena Contreras,2017,245355
9,Ciudad de Mexico,Miguel Hidalgo,2017,376741
9,Ciudad de Mexico,Milpa Alta,2017,137603
9,Ciudad de Mexico,Tlalpan,2017,678903
9,Ciudad de Mexico,Tlahuac,2017,367810
9,Ciudad de Mexico,Venustiano Carranza,2017,437022
9,Ciudad de Mexico,Xochimilco,2017,421188
9,Ciudad de Mexico,Alvaro Obregon,2017,754581
